Azulejo-Código;Procedência;Fábrica;Dimensão-Formato;Material e Técnica de Fabricação e Decorativa;Endereço;Bairro;Uso-Aplicação;latitude;longitude
FE 25-3-1;x/Provavelmente Portugal;Apelido: Galão;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 34- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
FE 25-3-1;x/Provavelmente Portugal;Apelido: Galão;;Cerâmica e vidrado Estampinha;Rua 15 de Novembro nº 38- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1615771;-48,4688459
FE 26-1-1;;Apelido: Grega;"15;2 x 4 cm";Cerâmica e vidrado Estampinha;Travessa Alenquer nº 146- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4604903;-48,5047975
FE 32-1-1;;;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 175- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 32-1-1;;;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Travessa Frutuoso Guimarães nº 179- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4510368;-48,5010789
FE 33-1-1;;;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Rua Ó de Almeida nº 755- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,1386998;-48,448846
FE 33-2-2;x/Portugal;;"15 x 7;5 cm";Cerâmica e vidrado Estampinha;Travessa Presidente Pernambuco nº 204- Belém - Pará - Brasil;Batista Campos;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4594248;-48,4902092
FE 34-1-1;;;"13;1 x 4 cm";Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 528- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
FE 36-1-1;x/Portugal;;"13;3 x 6;4 cm";Cerâmica e vidrado Estampinha;Travessa Gurupá nº 266- Belém - Pará - Brasil;Cidade Velha;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,459932;-48,5056653
FE 38-1-1;x/França;Marseille;21 x 6 cm;Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 1181- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
FE 38-1-1;x/França;Marseille;21 x 6 cm;Cerâmica e vidrado Estampinha;Rua 28 de Setembro nº 1183- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,450574;-48,4982834
FE 39-1-1;Lisboa/Portugal;;"13;6 x 6;9 cm";Cerâmica e vidrado Estampinha;Avenida Nazaré nº 427- Belém - Pará - Brasil;Nazar�;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4520714;-48,4791354
FE 40-1-1;Lisboa/Portugal;;"13;4 x 6;8 cm";Cerâmica e vidrado Estampinha;Avenida 16 de Novembro nº 406- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,448673868;-48,49423396
FE 45-1-1;Porto/Portugal;;;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
FE 46-1-1;Porto/Portugal;;;Cerâmica e vidrado Estampinha;Travessa São Francisco nº 60- Belém - Pará - Brasil;Campina;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,4600087;-48,4966468
FE 47-1-1;;;"14;4 x 6;8 cm";Cerâmica e vidrado Estampinha;Travessa Rui Barbosa nº 717- Belém - Pará - Brasil;Reduto;"Revestimento de fachada; assentados por compressão contra argamassa fresca.";-1,9615324;-48,1932456
