Azulejo-Código,Cidade,Pais,altura,largura,Endereço,Bairro,Uso-Aplicação
FE 25-2-1,,,13/1,04/1,"Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 337/
 Rua Dr. Malcher n° 85",Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 25-3-1,,Portugal,,,Rua 15 de Novembro n° 30/32/34/38,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 26-1-1,,,15/2,04/1,Travessa Alenquer n° 146,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 29-1-1,,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 32-1-1,,,13/1,04/1,Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 168/ Travessa Piedade n° 337,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 32-1-1,,,13/1,04/1,Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 168/ Travessa Piedade n° 337,Campina,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 32-1-1,,,13/1,04/1,Travessa Frutuoso Guimarães n° 175/179, 123/185, 187/191/ Travessa Alenquer n° 168/ Travessa Piedade n° 337,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 33-1-1,,,13/1,04/1,Rua Ó de Almeida n° 755 e 757/759,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 33-2-2,,Portugal,15/1,07/5,Travessa Presidente Pernambuco n° 204,Batista Campos,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 34-1-1,,,13/1,04/1,Rua 28 de Setembro n° 528,Reduto,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 35-1-1,,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 36-1-1,,Portugal,13/3,06/4,Travessa Gurupá n° 266,Cidade Velha,Revestimento de fachada, assentados por compressão contra argamassa fresca.
FE 37-1-1,,Portugal,,,Demolido antes de 1986,,Revestimento de fachada, assentados por compressão contra argamassa fresca.
